ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
641	Megathron	641	21.00	161,535,283.60	174,009,000.00	130,989,006.21	15,040,942.95	173,063,012.00	174,008,510.00	16.00	207,435,506.14	219,999,999.00	204,999,786.98	5,720,838.86	204,999,829.00	204,999,786.98							
642	Apocalypse	642	13.00	120,093,350.69	132,033,011.97	100,990,102.43	10,862,695.47	132,033,000.00	132,033,011.97	17.00	222,078,801.64	269,910,000.85	201,271,917.07	28,387,223.21	203,899,999.24	201,271,917.07							
643	Armageddon	643	18.00	165,476,380.73	167,796,130.44	126,041,446.00	12,526,392.13	167,796,110.14	167,796,130.44	33.00	238,898,495.48	305,020,013.52	217,900,000.00	23,171,651.56	232,989,994.00	217,974,999.96							
644	Typhoon	644	39.00	162,457,008.08	173,039,021.13	130,148,533.88	15,197,459.26	173,039,004.06	173,039,021.12	36.00	195,171,648.41	219,989,999.99	189,997,966.89	9,839,543.70	189,999,994.49	189,997,967.39							
645	Dominix	645	19.00	150,513,917.69	189,106,008.07	201,965.55	57,461,021.39	189,106,008.00	189,106,008.07	29.00	211,187,254.68	239,980,000.00	202,888,887.89	11,393,063.40	205,748,998.95	202,888,887.90							
648	Badger	648	232.00	200,122.23	200,138.09	200,015.05	48.01	200,129.99	200,138.08	61.00	1,378,360.61	1,499,999.96	640,000.00	406,540.26	1,449,999.96	1,374,237.24							
649	Tayra	649	114.00	715,413.41	760,000.01	711,100.77	18,482.71	714,537.10	724,280.40	115.00	3,132,159.81	4,800,000.00	2,500,888.98	613,511.91	3,233,993.51	2,500,990.32							
650	Nereus	650	1,206.00	180,893.77	807,750.01	66,660.86	289,671.50	83,330.43	807,663.35	2.00	1,900,000.00	1,900,000.00	1,900,000.00	0.00	1,900,000.00	1,900,000.00							
651	Hoarder	651	314.00	279,637.28	455,060.00	1,800.26	149,475.61	422,001.02	455,060.00	38.00	2,247,231.56	2,499,899.99	1,899,799.96	240,020.02	2,499,899.99	1,899,799.96							
652	Mammoth	652	146.00	672,796.05	961,500.00	400,000.00	232,574.63	505,431.18	960,195.61	334.00	1,494,105.44	2,180,115.67	1,466,560.79	283,541.42	1,466,562.91	1,466,560.80							
653	Wreathe	653	411.00	347,514.94	465,100.04	465.00	167,516.24	442,550.48	465,100.04	151.00	787,915.83	904,999.00	740,999.98	36,515.33	759,898.50	743,050.01							
654	Kryos	654	1,060.00	46,893.30	757,018.77	11,000.00	351,674.43	11,000.00	634,719.65	64.00	1,407,434.34	1,637,898.94	1,400,000.00	118,949.47	1,518,949.47	1,400,000.00							
655	Epithal	655	197.00	185,285.25	400,004.23	100,000.00	146,968.35	100,010.05	400,004.23	103.00	1,424,996.08	1,425,000.00	1,424,996.03	1.70	1,424,996.11	1,424,996.03							
656	Miasmos	656	318.00	435,397.17	623,531.01	260,000.00	143,684.75	500,000.42	623,531.01	6.00	1,500,000.00	1,500,000.00	1,500,000.00	0.00	1,500,000.00	1,500,000.00							
657	Iteron Mark V	657	241.00	1,071,556.08	1,404,005.84	52,999.96	552,007.89	1,404,005.65	1,404,005.84	406.00	1,922,464.15	1,988,888.37	1,898,999.39	42,367.52	1,898,999.87	1,898,999.39							
672	Caldari Shuttle	672	2,500.00	3,900.11	3,900.11	3,900.11	0.00	3,900.11	3,900.11	704.00	22,939.52	49,000.00	14,999.00	8,682.50	24,998.99	14,999.00							
1223	Bistot	1223	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
1224	Pyroxeres	1224	9,500,000.00	38.47	48.00	11.79	18.11	29.90	48.00	9,162.00	57.72	57.77	56.00	0.89	57.77	57.72							
1225	Crokite	1225	100,000.00	1,650.01	3,000.01	300.01	1,350.00	1,650.01	3,000.01	1,859.00	7,000.00	7,000.00	6,999.99	0.01	7,000.00	6,999.99							
